State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15 (RE),2015-16 (BE)
Andhra Pradesh ,449,445,427,546,656,633,824,853,977,1053,1076,1306,1793,2523,2945,3687,1872,3201,5014,4729,5049,6348,8316,10290,15845,13391,15210,20892,18949.67,21626.86,22101.38,25466.19,26738.54,26254.78,12758.83,14624.21
Arunachal Pradesh,–,–,–,–,–,–,78,102,111,134,140,156,163,176,252,296,288,307,257,277,298,351,332,800,576,769,889,809,1400.91,1537.88,1834.88,2247.31,1567.32,2050.23,2959.71,3410.48
Assam,401,215,208,254,330,264,437,469,420,598,769,615,685,719,727,815,695,984,788,1240,1214,1704,1824,2146,4516,1551,2028,2406,3242.55,3736.12,2995.15,3740.37,4610.72,5206.59,12550.78,12039.32
Bihar,862,704,583,711,721,868,1083,1295,1113,1275,1329,1066,1174,1115,823,961,1153,1259,1549,3420,2601,2309,3727,4501,5416,4812,6551,8008,8669.68,10211.86,12488.6,13680.55,14740.43,17927.94,31932,29477.21
Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,305,710,1292,2351,2544,2268,3188,4189,3920.27,4293.28,4208.93,6092.65,7847.41,6582.37,9313.92,12080.89
Goa,–,–,–,–,–,–,83,90,85,98,120,135,119,128,124,158,157,148,170,178,253,252,401,653,598,658,708,781,1092.02,1296.97,1445.11,1471.49,1285.11,1346.22,2177.45,3573.75
Gujarat,539,526,666,752,762,653,853,996,1011,1117,1388,1670,1776,1474,1954,2045,2317,2732,3566,3948,5134,2933,5481,11032,10598,8769,9968,9142,13155.97,11696.95,14166.61,19669.73,28622.83,29462.03,32892.36,35532.05
Haryana,207,211,350,338,359,461,542,375,436,419,464,453,577,708,639,770,1064,1188,1562,1407,1978,2072,1240,5005,3035,2190,3276,4553,5833.44,7304.55,6124.05,7736.54,8440.2,7041.55,8853.34,9805.18
Himachal Pradesh,150,84,90,101,134,177,183,196,216,209,217,1358,301,339,394,446,486,754,833,892,939,1093,1475,2508,2242,2120,2447,2322,3054.22,2879.91,2885.19,3430.54,4540.34,3918.7,4449.58,4850.93
Jammu & Kashmir,154,252,178,198,238,294,336,408,439,530,772,764,539,825,1015,1057,1123,1414,940,1053,1144,1927,2325,2221,2939,3743,3806,5361,6303.03,7418.63,7102.11,7175.75,6660.81,4850.93,11420.62,11205.44
Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1935,2072,2436,3217,3661,4492,5264,5162.26,5485.56,6259.46,5015.49,7001.99,6632.35,10766.22,12149.71
Karnataka,407,406,500,586,732,796,864,770,776,918,1008,1294,1508,1881,1595,1925,1779,1710,2440,2587,2979,3332,5260,7982,9315,6932,10649,10656,12379.53,15426.59,17900.24,20641.09,20307.91,21459.13,24087.82,25084.75
Kerala,188,331,213,329,433,523,507,470,460,591,552,789,707,845,892,1096,1154,1577,1383,1334,1271,1470,2211,4273,3106,2691,2335,3801,4329.62,4701.12,6100.45,7744.52,8543.52,8884.39,9095.4,14018.62
Madhya Pradesh,573,562,610,700,788,813,818,879,978,1044,1153,1217,1505,1360,1506,1451,1631,2498,1751,1822,1938,2591,4429,5158,11386,8412,7854,9664,10516.38,14135.55,15043.59,27965.25,20528.79,19894.4,25139.97,27137.15
Maharashtra,696,850,957,1063,1183,1241,1433,1425,1561,1835,2019,2003,2467,2874,5214,4208,4159,4779,4654,8705,4807,4198,6743,18354,21622,16397,14456,15460,23374.57,22515.13,23696.05,25174.18,25466.44,31927.4,33255.32,38038.19
Manipur,88,43,44,53,89,91,101,104,115,123,146,156,426,200,167,192,306,335,327,423,250,779,742,857,949,738,1211,1427,1781.5,1711.42,2036.88,1857.42,1676.67,1454.09,2187.54,1687.33
Meghalaya,42,27,32,40,44,53,73,74,94,92,95,124,133,199,130,198,168,166,192,268,344,238,384,456,474,333,413,517,749.94,650.98,757.47,1110.25,1123.87,1259.42,1990.39,1961.77
Mizoram,–,–,–,–,–,46,8,60,56,64,197,93,116,103,129,150,189,208,202,266,266,205,274,538,423,584,578,651,554.74,826.33,739.06,762.45,826.59,718.95,1254.71,1485.24
Nagaland,73,31,37,50,39,69,81,107,114,122,130,159,330,252,184,195,231,226,441,315,415,568,411,571,591,748,863,991,1059.93,1267.68,1388.22,1572.81,1592.75,1476.81,1635.84,1920.58
Odisha,336,240,367,214,384,410,482,582,602,629,861,1005,866,973,947,865,1193,1318,1823,1661,2219,2187,3252,4704,3513,2143,3574,5121,5482.74,5249.05,6683.37,7444.87,9018.07,10513.17,15854.91,18648.78
Punjab,267,376,438,614,785,800,627,990,798,866,880,816,785,1177,1463,1369,622,1636,2578,1784,2398,2982,2511,4633,3796,2244,7753,3458,4216.72,3900.01,4162.85,3765,5049.34,6015.7,7448.21,9190.66
Rajasthan,432,537,464,487,535,609,691,845,845,868,1248,1729,1350,1529,1675,2576,2539,3699,2739,2827,2459,3046,4526,7021,9001,5721,6902,8630,8672.64,8617.61,8829.97,11718.77,17802.12,18591.49,24923.69,26908.54
Sikkim,13,13,11,18,18,26,34,40,51,52,55,73,70,74,75,111,122,136,126,110,184,245,249,296,438,378,366,471,688.3,771.79,530.05,713.59,918.57,1011.08,1820.85,1267.22
Tamil Nadu,534,646,716,841,740,859,836,821,854,931,980,920,1206,1304,1797,1621,2337,2383,2182,1899,2685,3261,4469,8494,12625,6736,12882,12773,14132.83,13354.98,17965.44,25627.23,24328.46,24367.71,24698.71,35041.23
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,20148.21,21458.98
Tripura,56,33,36,47,57,69,68,98,112,105,116,129,107,142,175,203,272,290,355,312,401,653,576,702,802,910,819,1041,1381.59,1543.72,1264.99,1628.67,1814.61,1876.42,4096.38,5823.37
Uttar Pradesh,952,1036,1127,1355,1894,1629,1876,1821,1822,1983,2702,2847,3445,2995,5666,3231,3809,4431,5388,5868,5649,6324,9148,19220,14514,13222,19284,22081,28429.22,31741.7,26910.22,29827.14,32996.57,42573.18,70712.59,76931.14
Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,197,465,1173,1845,1330,2053,2039,2720,2493.43,2639.66,2388.89,3257.03,5256.19,5306.82,7103.32,6154.31
West Bengal,437,527,451,441,588,714,810,913,804,912,900,867,983,1067,1652,1883,2670,2235,2910,3179,4637,4684,4555,12664,5348,9471,7042,8330,9319.79,9634.16,8423.98,10504.51,13246.62,16716.12,22819.48,25273.78
Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,292,976,1074,1484,1889,2103,2389,3666,3587,5615,6633,7047,4626,5211,8389,8598.75,11025.04,11142.59,8437.57,9199.45,11685.08,8752.22,10726.91
Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,379,460,387,386.13,502.35,520.81,533.78,504.98,567.59,862.77,832.67
