"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","18.87","3.81","2.13"
"11 Aug 2022","18.93","3.83","2.15"
"10 Aug 2022","18.90","3.90","2.07"
"08 Aug 2022","18.32","3.87","2.11"
"05 Aug 2022","18.16","3.84","2.09"
"04 Aug 2022","18.24","3.86","2.13"
"03 Aug 2022","18.07","3.82","2.14"
"02 Aug 2022","18.22","3.85","2.10"
"01 Aug 2022","18.09","3.85","2.09"
"29 Jul 2022","17.91","3.79","2.12"
"28 Jul 2022","17.61","3.72","2.17"
"27 Jul 2022","17.48","3.69","2.16"
"26 Jul 2022","17.07","3.65","2.16"
"25 Jul 2022","16.97","3.69","2.01"
"22 Jul 2022","17.06","3.71","1.99"
"21 Jul 2022","17.05","3.70","2.01"
"20 Jul 2022","16.90","3.67","2.03"
"19 Jul 2022","16.85","3.66","2.01"
"18 Jul 2022","16.76","3.64","2.02"
"15 Jul 2022","16.64","3.61","2.04"
"14 Jul 2022","16.52","3.58","2.10"
"13 Jul 2022","16.50","3.57","2.05"
"12 Jul 2022","16.42","3.56","2.06"
"11 Jul 2022","16.58","3.59","2.05"
"08 Jul 2022","16.43","3.77","2.06"
"07 Jul 2022","16.42","3.81","2.14"
"06 Jul 2022","16.19","3.76","2.16"
"05 Jul 2022","15.98","3.71","2.19"
"04 Jul 2022","15.97","3.71","2.23"
"01 Jul 2022","15.94","3.70","2.14"
"30 Jun 2022","15.95","3.70","2.14"
"29 Jun 2022","16.93","3.81","1.95"
"28 Jun 2022","16.90","3.81","1.96"
"27 Jun 2022","16.82","3.79","1.96"
"24 Jun 2022","16.67","3.75","1.98"
"22 Jun 2022","16.14","3.63","2.04"
"21 Jun 2022","16.44","3.70","2.00"
"20 Jun 2022","16.06","3.62","2.05"
"17 Jun 2022","16.28","3.67","2.02"
"16 Jun 2022","16.45","3.71","2.11"
"15 Jun 2022","16.88","3.80","2.06"
"14 Jun 2022","16.84","3.79","1.84"
"13 Jun 2022","16.87","3.81","1.83"
"10 Jun 2022","17.25","3.89","1.81"
"09 Jun 2022","17.37","3.92","1.79"
"07 Jun 2022","17.36","3.92","1.79"
"06 Jun 2022","17.47","3.94","1.78"
"03 Jun 2022","17.47","3.94","1.77"
"02 Jun 2022","17.67","3.99","1.75"
"01 Jun 2022","17.63","3.98","1.75"
"31 May 2022","17.42","3.98","1.75"
"30 May 2022","17.57","3.96","1.75"
"27 May 2022","17.30","3.90","1.78"
"26 May 2022","16.60","3.85","1.80"
"25 May 2022","16.44","3.83","1.81"
"24 May 2022","16.70","3.89","1.79"
"23 May 2022","16.95","3.91","1.78"
"20 May 2022","17.06","3.96","1.76"
"19 May 2022","16.52","3.85","1.81"
"18 May 2022","16.87","3.95","1.76"
"17 May 2022","16.85","3.95","1.76"
"16 May 2022","16.46","3.83","1.82"
"13 May 2022","16.71","3.80","1.83"
"12 May 2022","16.58","3.77","1.84"
"11 May 2022","16.93","3.86","1.80"
"10 May 2022","17.04","3.87","1.80"
"09 May 2022","17.62","3.94","1.77"
"06 May 2022","17.85","3.99","1.74"
"05 May 2022","18.23","4.08","1.54"
"04 May 2022","18.18","4.07","1.54"
"02 May 2022","19.20","4.22","1.46"
"29 Apr 2022","19.28","4.23","1.46"
"28 Apr 2022","19.40","4.26","1.45"
"27 Apr 2022","19.26","4.23","1.46"
"26 Apr 2022","19.38","4.26","1.45"
"25 Apr 2022","19.09","4.19","1.47"
"22 Apr 2022","19.49","4.28","1.44"
"21 Apr 2022","19.72","4.33","1.42"
"20 Apr 2022","19.50","4.29","1.44"
"19 Apr 2022","19.29","4.24","1.45"
"18 Apr 2022","19.46","4.28","1.44"
"13 Apr 2022","19.49","4.28","1.44"
"12 Apr 2022","19.49","4.28","1.44"
"11 Apr 2022","19.78","4.35","1.42"
"08 Apr 2022","19.76","4.34","1.42"
"07 Apr 2022","19.56","4.30","1.44"
"06 Apr 2022","19.66","4.32","1.43"
"05 Apr 2022","19.62","4.31","1.43"
"04 Apr 2022","19.43","4.27","1.45"
"01 Apr 2022","19.18","4.22","1.47"
"31 Mar 2022","19.03","4.18","1.48"
"30 Mar 2022","17.90","3.95","1.59"
"29 Mar 2022","17.91","3.95","1.59"
"28 Mar 2022","17.78","3.92","1.60"
"25 Mar 2022","17.80","3.92","1.58"
"24 Mar 2022","17.89","3.94","1.60"
"23 Mar 2022","17.82","3.93","1.59"
"22 Mar 2022","17.79","3.92","1.64"
"21 Mar 2022","17.72","3.91","1.65"
"17 Mar 2022","17.73","3.91","1.65"
"16 Mar 2022","17.45","3.85","1.67"
"15 Mar 2022","17.13","3.78","1.70"
"14 Mar 2022","17.28","3.81","1.69"
"11 Mar 2022","17.26","3.80","1.69"
"10 Mar 2022","17.13","3.78","1.70"
"09 Mar 2022","16.86","3.72","1.73"
"08 Mar 2022","16.60","3.66","1.67"
"07 Mar 2022","16.51","3.64","1.68"
"04 Mar 2022","16.73","3.69","1.67"
"03 Mar 2022","17.09","3.77","1.64"
"02 Mar 2022","17.19","3.79","1.63"
"28 Feb 2022","17.28","3.81","1.62"
"25 Feb 2022","17.02","3.75","1.65"
"24 Feb 2022","16.44","3.62","1.71"
"22 Feb 2022","17.25","3.80","1.63"
"21 Feb 2022","17.37","3.83","1.62"
"18 Feb 2022","17.56","3.87","1.55"
"17 Feb 2022","17.68","3.90","1.54"
"16 Feb 2022","17.68","3.90","1.58"
"15 Feb 2022","17.70","3.90","1.58"
"14 Feb 2022","17.28","3.81","1.66"
"11 Feb 2022","18.29","3.94","1.60"
"10 Feb 2022","18.34","3.99","1.59"
"09 Feb 2022","18.25","3.98","1.57"
"08 Feb 2022","18.06","3.92","1.62"
"07 Feb 2022","18.64","3.92","1.64"
"04 Feb 2022","18.83","3.95","1.62"
"03 Feb 2022","18.89","3.97","1.62"
"02 Feb 2022","18.97","3.98","1.61"
"01 Feb 2022","18.68","3.96","1.62"
"31 Jan 2022","18.64","3.91","1.64"
"28 Jan 2022","18.44","3.86","1.66"
"27 Jan 2022","18.30","3.84","1.67"
"25 Jan 2022","18.46","3.88","1.66"
"24 Jan 2022","18.42","3.83","1.69"
"21 Jan 2022","19.06","3.97","1.63"
"20 Jan 2022","19.37","4.03","1.60"
"19 Jan 2022","19.46","4.05","1.59"
"18 Jan 2022","19.42","4.05","1.59"
"17 Jan 2022","19.78","4.12","1.56"
"14 Jan 2022","19.67","4.10","1.57"
"13 Jan 2022","19.65","4.09","1.57"
"12 Jan 2022","19.43","4.05","1.59"
"11 Jan 2022","19.23","4.01","1.61"
"10 Jan 2022","19.31","4.02","1.60"
"07 Jan 2022","19.16","3.99","1.61"
"06 Jan 2022","19.10","3.98","1.62"
"05 Jan 2022","19.15","3.99","1.61"
"04 Jan 2022","19.04","3.97","1.62"
"03 Jan 2022","19.01","3.96","1.62"
"31 Dec 2021","18.84","3.92","1.64"
"30 Dec 2021","18.52","3.86","1.66"
"29 Dec 2021","18.60","3.87","1.65"
"28 Dec 2021","18.54","3.86","1.66"
"27 Dec 2021","18.31","3.81","1.68"
"24 Dec 2021","18.23","3.80","1.69"
"23 Dec 2021","18.41","3.83","1.67"
"22 Dec 2021","18.30","3.81","1.68"
"21 Dec 2021","17.97","3.74","1.71"
"20 Dec 2021","17.72","3.69","1.74"
"17 Dec 2021","18.20","3.79","1.69"
"16 Dec 2021","18.57","3.87","1.59"
"15 Dec 2021","18.63","3.88","1.58"
"14 Dec 2021","18.69","3.89","1.58"
"13 Dec 2021","18.70","3.89","1.56"
"10 Dec 2021","18.72","3.90","1.56"
"09 Dec 2021","18.62","3.88","1.56"
"08 Dec 2021","18.53","3.86","1.57"
"07 Dec 2021","18.27","3.81","1.59"
"06 Dec 2021","18.00","3.75","1.62"
"03 Dec 2021","18.22","3.79","1.60"
"02 Dec 2021","18.31","3.81","1.59"
"01 Dec 2021","18.10","3.77","1.61"
"30 Nov 2021","17.97","3.74","1.62"
"29 Nov 2021","17.99","3.75","1.62"
"26 Nov 2021","18.09","3.77","1.61"
"25 Nov 2021","18.65","3.88","1.56"
"24 Nov 2021","18.56","3.87","1.56"
"23 Nov 2021","18.71","3.90","1.55"
"22 Nov 2021","18.42","3.84","1.56"
"18 Nov 2021","18.87","3.93","1.53"
"17 Nov 2021","19.17","3.99","1.51"
"16 Nov 2021","19.26","4.01","1.49"
"15 Nov 2021","20.76","4.01","1.49"
"12 Nov 2021","20.81","4.01","1.49"
"11 Nov 2021","20.75","4.00","1.50"
"10 Nov 2021","21.30","4.03","1.41"
"09 Nov 2021","21.32","4.03","1.41"
"08 Nov 2021","21.21","4.01","1.39"
"04 Nov 2021","21.12","3.98","1.41"
"03 Nov 2021","20.93","3.94","1.42"
"02 Nov 2021","20.68","3.95","1.43"
"01 Nov 2021","21.52","3.97","1.42"
"29 Oct 2021","20.98","3.92","1.44"
"28 Oct 2021","20.97","3.91","1.44"
"27 Oct 2021","21.32","3.97","1.47"
"26 Oct 2021","21.37","3.98","1.49"
"25 Oct 2021","21.10","3.91","1.51"
"22 Oct 2021","21.80","3.95","1.50"
"21 Oct 2021","22.07","4.00","1.48"
"20 Oct 2021","22.24","4.03","1.47"
"19 Oct 2021","22.74","4.12","1.44"
"18 Oct 2021","23.14","4.22","1.41"
"14 Oct 2021","22.93","4.18","1.42"
"13 Oct 2021","22.83","4.16","1.43"
"12 Oct 2021","22.54","4.11","1.45"
"11 Oct 2021","22.38","4.08","1.46"
"08 Oct 2021","22.10","4.03","1.48"
"07 Oct 2021","21.99","4.01","1.49"
"06 Oct 2021","21.60","3.94","1.51"
"05 Oct 2021","21.94","4.00","1.49"
"04 Oct 2021","21.85","3.99","1.49"
"01 Oct 2021","21.48","3.92","1.52"
"30 Sep 2021","21.45","3.91","1.52"
"29 Sep 2021","21.44","3.94","1.63"
"28 Sep 2021","21.30","3.91","1.64"
"27 Sep 2021","21.29","3.94","1.64"
"24 Sep 2021","21.20","3.92","1.65"
"23 Sep 2021","21.36","4.03","1.64"
"22 Sep 2021","21.15","3.99","1.65"
"21 Sep 2021","20.96","3.95","1.67"
"20 Sep 2021","20.81","3.92","1.68"
"17 Sep 2021","21.39","4.03","1.64"
"16 Sep 2021","21.61","4.08","1.62"
"15 Sep 2021","21.64","4.08","1.35"
"14 Sep 2021","21.48","4.05","1.38"
"13 Sep 2021","21.40","4.04","1.37"
"09 Sep 2021","21.29","4.01","1.38"
"08 Sep 2021","21.22","4.00","1.38"
"07 Sep 2021","21.24","4.01","1.23"
"06 Sep 2021","21.31","4.02","1.22"
"03 Sep 2021","21.26","4.01","1.22"
"02 Sep 2021","21.07","3.97","1.24"
"01 Sep 2021","20.92","3.94","1.25"
"31 Aug 2021","20.90","3.95","1.25"
"30 Aug 2021","20.71","3.96","1.26"
"27 Aug 2021","20.34","3.89","1.29"
"26 Aug 2021","20.10","3.84","1.31"
"25 Aug 2021","20.12","3.85","1.30"
"24 Aug 2021","20.11","3.85","1.30"
"23 Aug 2021","19.85","3.80","1.32"
"20 Aug 2021","20.00","3.83","1.29"
"18 Aug 2021","20.55","3.93","1.28"
"17 Aug 2021","20.56","3.93","1.28"
"13 Aug 2021","23.09","3.97","0.96"
"24 May 2021","31.17","4.01","0.52"