ticker,date,open,high,low,close
IKNA,2021-03-26,22.4,37.61,19.0101,32.0
IKNA,2021-03-29,28.25,33.69,24.52,28.3
IKNA,2021-03-30,28.8,30.24,23.81,25.6
IKNA,2021-03-31,25.01,28.68,24.3801,28.25
IKNA,2021-04-01,27.01,27.01,23.18,26.0
IKNA,2021-04-05,25.52,25.95,22.48,23.5
IKNA,2021-04-06,23.76,24.77,21.415,22.22
IKNA,2021-04-07,22.06,23.15,19.5,20.46
IKNA,2021-04-08,20.47,21.5212,18.41,18.95
IKNA,2021-04-09,18.97,19.02,15.75,16.05
IKNA,2021-04-12,16.33,26.99,14.16,17.2
IKNA,2021-04-13,15.49,18.0,14.3581,17.89
IKNA,2021-04-14,17.09,18.39,16.9901,17.68
IKNA,2021-04-15,18.49,18.74,17.0001,18.45
IKNA,2021-04-16,18.12,18.49,17.1353,17.99
IKNA,2021-04-19,17.72,20.17,17.0001,19.94
IKNA,2021-04-20,19.94,21.3199,18.06,18.39
IKNA,2021-04-21,18.55,19.55,18.4203,19.24
IKNA,2021-04-22,19.04,20.15,18.95,20.03
IKNA,2021-04-23,20.39,21.5,19.34,20.94
IKNA,2021-04-26,21.03,22.73,20.44,22.01
IKNA,2021-04-27,22.25,22.25,20.61,22.06
IKNA,2021-04-28,22.23,22.74,21.0206,22.05
IKNA,2021-04-29,21.93,23.345,21.67,22.84
IKNA,2021-04-30,22.55,24.9,22.55,24.47
IKNA,2021-05-03,24.9,25.45,24.04,24.73
IKNA,2021-05-04,24.48,25.25,23.11,24.62
IKNA,2021-05-05,24.62,26.4899,23.84,25.64
IKNA,2021-05-06,25.37,25.825,22.751,23.4
IKNA,2021-05-07,23.51,24.38,23.51,23.81
IKNA,2021-05-10,23.74,24.2467,22.11,22.32
IKNA,2021-05-11,21.89,23.1104,19.49,19.74
IKNA,2021-05-12,19.51,20.4785,19.35,19.55
IKNA,2021-05-13,19.63,19.74,16.855,16.89
IKNA,2021-05-14,16.79,18.97,16.3001,18.33
IKNA,2021-05-17,18.52,19.69,16.97,17.41
IKNA,2021-05-18,17.41,18.16,16.985,17.79
IKNA,2021-05-19,17.63,18.25,16.7,17.95
IKNA,2021-05-20,18.12,19.01,17.9,18.88
IKNA,2021-05-21,19.28,19.3,18.61,19.11
IKNA,2021-05-24,19.18,20.0,19.16,19.57
IKNA,2021-05-25,20.05,21.1816,19.58,19.61
IKNA,2021-05-26,19.88,20.41,19.51,19.77
IKNA,2021-05-27,20.0,20.37,19.07,19.07
IKNA,2021-05-28,19.41,19.7,17.81,18.0
IKNA,2021-06-01,17.82,18.37,17.15,17.55
IKNA,2021-06-02,17.84,17.905,16.6,16.67
IKNA,2021-06-03,16.7,17.8575,15.21,15.59
IKNA,2021-06-04,15.62,16.79,14.69,15.68
IKNA,2021-06-07,15.71,16.36,14.85,15.04
IKNA,2021-06-08,15.17,15.48,14.865,15.33
IKNA,2021-06-09,15.38,15.96,15.32,15.42
IKNA,2021-06-10,15.43,15.54,14.76,15.14
IKNA,2021-06-11,15.37,15.37,14.41,14.55
IKNA,2021-06-14,14.75,15.25,13.69,13.73
IKNA,2021-06-15,13.83,14.08,13.0,13.43
IKNA,2021-06-16,13.49,13.84,13.1,13.72
IKNA,2021-06-17,13.76,14.48,13.51,14.05
IKNA,2021-06-18,13.99,14.51,13.15,13.27
IKNA,2021-06-21,13.83,14.41,13.63,14.1
IKNA,2021-06-22,13.94,14.77,13.9,14.53
IKNA,2021-06-23,14.81,14.99,14.38,14.46
IKNA,2021-06-24,14.8,15.18,14.5,14.88
IKNA,2021-06-25,15.05,15.23,13.76,14.37
IKNA,2021-06-28,14.35,14.705,13.87,14.3
IKNA,2021-06-29,14.49,14.56,13.44,13.54
IKNA,2021-06-30,13.46,14.33,13.0,14.04
IKNA,2021-07-01,14.14,14.28,13.52,14.2
IKNA,2021-07-02,14.2,14.35,13.01,13.26
IKNA,2021-07-06,13.25,13.59,12.6,13.04
IKNA,2021-07-07,12.94,13.595,12.81,13.47
IKNA,2021-07-08,13.13,13.575,12.885,13.33
IKNA,2021-07-09,13.48,14.67,13.48,14.5
IKNA,2021-07-12,14.3,15.33,14.11,15.23
IKNA,2021-07-13,15.06,15.06,12.58,12.72
IKNA,2021-07-14,12.79,12.81,11.18,11.26
IKNA,2021-07-15,11.24,11.94,11.0,11.62
IKNA,2021-07-16,11.84,13.59,11.32,13.17
IKNA,2021-07-19,12.59,13.01,11.34,11.44
IKNA,2021-07-20,11.5,17.6,11.45,13.36
IKNA,2021-07-21,12.87,13.07,11.4,11.62
IKNA,2021-07-22,11.64,12.99,11.2,11.62
IKNA,2021-07-23,11.52,11.6,10.56,10.9
IKNA,2021-07-26,10.87,11.67,10.47,11.49
IKNA,2021-07-27,11.39,11.62,11.02,11.18
IKNA,2021-07-28,11.18,11.18,10.3347,10.8
IKNA,2021-07-29,10.82,11.385,10.57,10.62
IKNA,2021-07-30,10.68,10.76,9.64,9.91
IKNA,2021-08-02,10.11,10.9891,9.9,10.07
IKNA,2021-08-03,10.07,10.38,9.64,9.82
IKNA,2021-08-04,9.82,10.1083,9.7216,10.0
IKNA,2021-08-05,10.01,10.84,9.79,10.2
IKNA,2021-08-06,10.33,10.52,9.88,10.37
IKNA,2021-08-09,10.25,10.5216,9.93,10.09
IKNA,2021-08-10,10.23,10.24,9.7,10.04
IKNA,2021-08-11,10.01,10.26,9.63,10.26
IKNA,2021-08-12,10.83,11.19,10.31,11.03
IKNA,2021-08-13,11.16,11.1757,10.04,10.78
IKNA,2021-08-16,10.68,11.04,10.355,11.02
IKNA,2021-08-17,10.98,11.55,10.72,11.41
IKNA,2021-08-18,11.41,11.48,11.25,11.39
IKNA,2021-08-19,11.2,11.2,10.4114,10.95
IKNA,2021-08-20,11.0,11.87,11.0,11.87
IKNA,2021-08-23,11.9,11.9,10.93,11.16
IKNA,2021-08-24,11.08,12.18,11.08,11.85
IKNA,2021-08-25,11.785,12.15,11.47,11.6
IKNA,2021-08-26,11.66,12.32,11.52,11.6
IKNA,2021-08-27,11.97,13.31,11.61,13.29
IKNA,2021-08-30,13.11,13.69,12.13,13.15
IKNA,2021-08-31,13.32,13.6288,12.47,12.87
IKNA,2021-09-01,13.04,13.32,12.46,12.86
IKNA,2021-09-02,12.9,13.52,12.45,13.45
IKNA,2021-09-03,13.49,14.25,12.9,14.09
IKNA,2021-09-07,14.22,14.75,13.65,14.19
IKNA,2021-09-08,13.96,13.96,12.69,13.0
IKNA,2021-09-09,13.0,13.88,12.54,12.96
IKNA,2021-09-10,12.96,13.67,12.84,13.2
IKNA,2021-09-13,13.38,13.405,12.44,12.52
IKNA,2021-09-14,12.49,12.795,11.78,11.95
IKNA,2021-09-15,11.83,12.14,11.485,12.1
IKNA,2021-09-16,11.88,13.22,11.765,13.1
IKNA,2021-09-17,13.11,13.93,12.777,12.97
IKNA,2021-09-20,12.46,14.08,12.4318,13.8
IKNA,2021-09-21,13.86,14.0,13.31,14.0
IKNA,2021-09-22,13.71,13.71,12.58,12.99
IKNA,2021-09-23,13.01,13.03,12.62,12.81
IKNA,2021-09-24,12.8,13.49,12.5,12.79
IKNA,2021-09-27,12.79,13.34,12.7,12.82
IKNA,2021-09-28,12.91,12.95,11.81,12.06
IKNA,2021-09-29,11.93,12.055,10.985,11.28
IKNA,2021-09-30,11.44,12.83,10.76,12.62
IKNA,2021-10-01,12.77,13.35,12.01,12.98
IKNA,2021-10-04,12.92,12.92,11.93,12.5
IKNA,2021-10-05,12.62,13.48,12.47,13.48
IKNA,2021-10-06,13.23,13.43,12.2648,12.6
IKNA,2021-10-07,12.635,14.1,12.615,13.76
IKNA,2021-10-08,13.7,14.04,12.72,12.92
IKNA,2021-10-11,12.99,13.87,12.16,12.52
IKNA,2021-10-12,12.47,12.47,11.03,11.11
IKNA,2021-10-13,11.37,11.935,11.125,11.6
IKNA,2021-10-14,11.6,12.36,11.09,12.22
IKNA,2021-10-15,12.57,12.96,12.0,12.11
IKNA,2021-10-18,12.0,12.635,11.37,11.78
IKNA,2021-10-19,11.91,12.15,10.55,11.21
IKNA,2021-10-20,11.24,11.8041,10.655,11.52
IKNA,2021-10-21,11.54,12.005,11.01,11.16
IKNA,2021-10-22,11.25,11.475,10.19,10.52
IKNA,2021-10-25,10.49,11.12,10.225,10.79
IKNA,2021-10-26,10.73,11.27,10.68,10.84
IKNA,2021-10-27,10.81,11.215,10.455,10.74
IKNA,2021-10-28,10.71,11.09,10.69,10.78
IKNA,2021-10-29,10.74,11.14,10.53,10.75
IKNA,2021-11-01,10.78,12.38,10.78,11.87
IKNA,2021-11-02,11.81,12.95,11.681,12.93
IKNA,2021-11-03,12.91,13.38,12.79,13.0
IKNA,2021-11-04,13.08,13.69,12.855,13.0
IKNA,2021-11-05,13.09,13.64,13.09,13.63
IKNA,2021-11-08,13.66,14.07,13.2175,13.56
IKNA,2021-11-09,13.52,15.4,13.19,15.08
IKNA,2021-11-10,14.93,16.73,14.32,16.73
IKNA,2021-11-11,16.65,16.885,15.43,16.26
IKNA,2021-11-12,16.23,17.13,15.675,16.96
IKNA,2021-11-15,17.06,17.5,16.03,16.2
IKNA,2021-11-16,16.01,17.415,15.985,16.7
IKNA,2021-11-17,16.6,16.86,16.28,16.6
IKNA,2021-11-18,16.57,16.8,15.84,16.1
IKNA,2021-11-19,15.85,16.0285,14.44,15.45
IKNA,2021-11-22,15.58,15.58,13.56,13.75
IKNA,2021-11-23,13.51,13.62,12.15,13.03
IKNA,2021-11-24,13.25,14.6,13.04,14.12
IKNA,2021-11-26,13.65,15.91,13.31,15.26
IKNA,2021-11-29,15.37,16.33,14.3,14.43
IKNA,2021-11-30,14.4,14.45,12.8501,14.305
IKNA,2021-12-01,14.72,15.18,13.29,13.35
IKNA,2021-12-02,13.4,13.4,12.69,12.92
IKNA,2021-12-03,13.0,13.475,11.19,12.0
IKNA,2021-12-06,12.14,13.42,11.82,12.56
IKNA,2021-12-07,12.59,14.81,12.59,14.49
IKNA,2021-12-08,14.23,16.949,13.69,16.48
IKNA,2021-12-09,16.26,16.83,15.36,15.61
IKNA,2021-12-10,15.55,15.63,14.05,14.1
IKNA,2021-12-13,14.2,14.73,13.04,14.21
IKNA,2021-12-14,14.0,14.0,13.01,13.76
IKNA,2021-12-15,14.12,15.43,13.25,15.06
IKNA,2021-12-16,15.0,16.64,13.93,14.09
IKNA,2021-12-17,13.94,14.27,12.56,13.3
IKNA,2021-12-20,14.115,15.25,12.68,14.13
IKNA,2021-12-21,14.36,15.76,13.835,14.92
IKNA,2021-12-22,14.92,15.15,14.38,15.04
IKNA,2021-12-23,15.64,15.64,14.54,14.84
IKNA,2021-12-27,14.83,14.83,13.22,14.28
IKNA,2021-12-28,14.15,14.15,13.14,13.35
IKNA,2021-12-29,13.33,14.12,12.51,13.88
IKNA,2021-12-30,13.84,14.58,13.14,13.21
IKNA,2021-12-31,13.21,13.405,12.37,12.54
IKNA,2022-01-03,12.76,13.985,11.97,13.8
IKNA,2022-01-04,13.79,14.345,13.185,13.85
IKNA,2022-01-05,13.63,14.16,11.51,11.72
IKNA,2022-01-06,11.8,12.18,11.24,12.16
IKNA,2022-01-07,11.99,12.29,11.505,11.77
IKNA,2022-01-10,11.64,11.95,10.87,11.85
IKNA,2022-01-11,11.92,12.82,11.64,12.35
IKNA,2022-01-12,12.585,12.585,11.07,11.08
IKNA,2022-01-13,11.13,11.46,10.955,10.99
IKNA,2022-01-14,10.68,11.37,10.68,11.37
IKNA,2022-01-18,11.26,11.52,10.76,10.86
IKNA,2022-01-19,11.07,11.48,10.66,11.07
IKNA,2022-01-20,11.19,11.35,10.71,10.75
IKNA,2022-01-21,10.54,11.36,10.54,11.06
IKNA,2022-01-24,10.62,11.23,10.53,10.76
IKNA,2022-01-25,10.5,10.87,10.375,10.65
IKNA,2022-01-26,10.87,11.04,10.2,10.5
IKNA,2022-01-27,10.59,11.0,9.02,9.36
IKNA,2022-01-28,9.23,9.57,8.62,9.44
IKNA,2022-01-31,9.43,9.99,9.41,9.73
IKNA,2022-02-01,9.8,10.01,9.28,9.79
IKNA,2022-02-02,9.73,11.79,9.06,11.45
IKNA,2022-02-03,11.03,11.65,9.52,9.76
IKNA,2022-02-04,9.6,10.69,9.28,9.91
IKNA,2022-02-07,9.91,10.365,9.295,10.09
IKNA,2022-02-08,10.04,10.15,9.48,9.59
IKNA,2022-02-09,9.63,11.41,9.63,10.53
IKNA,2022-02-10,10.12,10.93,9.27,9.47
IKNA,2022-02-11,9.43,9.838,9.36,9.72
IKNA,2022-02-14,9.8,10.06,9.0,9.13
IKNA,2022-02-15,9.38,10.09,9.22,9.96
IKNA,2022-02-16,9.85,10.11,9.85,9.96
IKNA,2022-02-17,9.9,10.405,9.445,9.45
IKNA,2022-02-18,9.33,9.33,7.61,7.85
IKNA,2022-02-22,7.75,8.05,7.6006,7.79
IKNA,2022-02-23,7.97,7.97,7.28,7.37
IKNA,2022-02-24,7.08,7.74,6.95,7.03
IKNA,2022-02-25,7.11,7.11,6.33,6.55
IKNA,2022-02-28,6.53,6.53,5.66,6.11
IKNA,2022-03-01,5.98,6.21,5.63,5.99
IKNA,2022-03-02,6.03,7.25,5.82,7.0
IKNA,2022-03-03,7.03,7.19,6.715,6.94
IKNA,2022-03-04,6.79,7.2,6.145,6.23
IKNA,2022-03-07,6.31,6.67,6.12,6.53
IKNA,2022-03-08,6.53,6.98,6.07,6.54
IKNA,2022-03-09,6.7,7.47,6.26,7.39
IKNA,2022-03-10,7.17,7.32,6.09,6.3
IKNA,2022-03-11,6.32,6.4,6.05,6.11
IKNA,2022-03-14,6.16,6.315,5.345,5.61
IKNA,2022-03-15,5.7,5.84,5.31,5.69
IKNA,2022-03-16,5.87,6.44,5.61,6.31
IKNA,2022-03-17,6.31,7.81,5.7,7.78
IKNA,2022-03-18,7.75,8.99,7.75,8.01
IKNA,2022-03-21,7.85,8.23,7.2,7.29
IKNA,2022-03-22,7.42,7.635,7.125,7.23
IKNA,2022-03-23,7.14,7.35,6.86,6.95
IKNA,2022-03-24,6.98,7.22,6.48,6.54
IKNA,2022-03-25,6.54,6.86,6.23,6.71
IKNA,2022-03-28,6.63,6.86,6.35,6.64
IKNA,2022-03-29,6.82,7.16,6.44,6.69
IKNA,2022-03-30,6.76,6.86,5.98,6.11
IKNA,2022-03-31,6.16,6.24,5.86,6.1
IKNA,2022-04-01,6.19,6.24,5.78,6.05
IKNA,2022-04-04,6.05,6.3,5.935,6.19
IKNA,2022-04-05,6.22,6.2941,5.88,5.91
IKNA,2022-04-06,5.89,5.93,5.07,5.57
IKNA,2022-04-07,5.57,7.3551,5.57,7.01
IKNA,2022-04-08,6.89,8.3049,6.89,7.4
IKNA,2022-04-11,7.3,7.565,6.7,6.94
IKNA,2022-04-12,6.97,7.02,6.59,6.8
IKNA,2022-04-13,7.62,7.9104,7.055,7.3
IKNA,2022-04-14,7.31,7.34,6.93,6.99
IKNA,2022-04-18,6.95,6.95,6.34,6.8
IKNA,2022-04-19,6.77,7.17,6.25,6.47
IKNA,2022-04-20,6.47,6.48,6.1777,6.21
IKNA,2022-04-21,6.38,6.465,5.535,5.77
IKNA,2022-04-22,5.77,6.04,5.62,6.0
IKNA,2022-04-25,5.92,6.3,5.73,5.88
IKNA,2022-04-26,5.72,5.77,4.845,5.06
IKNA,2022-04-27,5.05,5.05,4.26,4.29
IKNA,2022-04-28,4.27,4.39,3.8,3.84
IKNA,2022-04-29,3.75,4.16,3.75,3.88
IKNA,2022-05-02,3.83,4.47,2.83,3.78
IKNA,2022-05-03,3.74,4.08,3.53,3.89
IKNA,2022-05-04,3.88,3.93,3.44,3.82
IKNA,2022-05-05,3.81,4.7,3.525,4.17
IKNA,2022-05-06,4.08,4.93,3.9,4.08
IKNA,2022-05-09,3.92,4.275,3.76,4.16
IKNA,2022-05-10,4.31,4.99,4.0538,4.5
IKNA,2022-05-11,4.41,4.41,3.745,3.78
IKNA,2022-05-12,3.72,4.13,3.59,3.74
IKNA,2022-05-13,3.91,4.08,3.48,3.74
IKNA,2022-05-16,3.69,3.81,3.6,3.65
IKNA,2022-05-17,3.75,4.09,3.72,4.01
IKNA,2022-05-18,3.87,4.0,3.4,3.72
IKNA,2022-05-19,3.67,4.06,3.59,3.7
IKNA,2022-05-20,3.77,3.77,3.39,3.57
IKNA,2022-05-23,3.61,3.885,3.49,3.66
IKNA,2022-05-24,3.58,3.65,3.21,3.35
IKNA,2022-05-25,3.3,3.4,3.22,3.29
IKNA,2022-05-26,3.29,3.46,3.169,3.23
IKNA,2022-05-27,3.21,3.39,3.07,3.36
IKNA,2022-05-31,3.35,4.16,3.35,3.9
IKNA,2022-06-01,3.88,3.9633,3.22,3.39
IKNA,2022-06-02,3.35,3.48,3.23,3.42
IKNA,2022-06-03,3.43,4.07,3.27,3.86
IKNA,2022-06-06,3.92,3.92,3.48,3.57
IKNA,2022-06-07,3.5,4.31,3.5,4.24
IKNA,2022-06-08,4.17,4.71,4.055,4.39
IKNA,2022-06-09,4.37,5.08,4.14,4.85
IKNA,2022-06-10,4.7,4.83,4.025,4.16
IKNA,2022-06-13,3.99,4.065,3.745,3.99
IKNA,2022-06-14,4.01,4.01,3.69,3.81
IKNA,2022-06-15,3.88,3.98,3.69,3.75
IKNA,2022-06-16,3.65,3.66,3.23,3.39
IKNA,2022-06-17,3.48,3.64,3.41,3.61
IKNA,2022-06-21,3.63,3.93,3.41,3.47
IKNA,2022-06-22,3.36,3.7999,3.22,3.66
IKNA,2022-06-23,3.57,4.15,3.37,4.15
IKNA,2022-06-24,4.11,5.37,4.0,5.37
IKNA,2022-06-27,5.2,6.5,4.84,4.89
IKNA,2022-06-28,4.81,4.97,4.62,4.7
IKNA,2022-06-29,4.64,4.7,4.339,4.48
IKNA,2022-06-30,4.38,4.47,4.15,4.43
IKNA,2022-07-01,4.51,4.52,4.11,4.2
IKNA,2022-07-05,4.15,4.4928,4.1185,4.23
IKNA,2022-07-06,4.24,4.79,4.22,4.5
IKNA,2022-07-07,4.59,4.915,4.49,4.73
IKNA,2022-07-08,4.65,5.336,4.65,5.3
IKNA,2022-07-11,5.17,5.3,5.025,5.14
IKNA,2022-07-12,5.14,5.31,4.8896,5.15
IKNA,2022-07-13,5.09,5.09,4.84,5.01
IKNA,2022-07-14,4.93,5.34,4.88,5.18
IKNA,2022-07-15,5.16,5.41,5.01,5.29
IKNA,2022-07-18,5.35,5.57,5.09,5.13
IKNA,2022-07-19,5.22,5.415,5.0819,5.24
IKNA,2022-07-20,5.25,5.53,4.98,5.5
IKNA,2022-07-21,5.52,5.7599,5.17,5.34
IKNA,2022-07-22,5.29,5.33,5.0,5.07
IKNA,2022-07-25,5.11,5.11,4.87,5.01
IKNA,2022-07-26,4.92,5.13,4.8863,5.03
IKNA,2022-07-27,5.05,5.12,4.92,5.03
IKNA,2022-07-28,5.05,5.22,4.91,5.06
IKNA,2022-07-29,5.0,5.17,4.96,5.06
IKNA,2022-08-01,4.96,5.01,4.76,4.99
IKNA,2022-08-02,4.92,5.11,4.875,4.99
IKNA,2022-08-03,5.08,5.74,5.02,5.45
IKNA,2022-08-04,5.44,5.61,5.375,5.56
IKNA,2022-08-05,5.51,6.09,5.51,6.0
IKNA,2022-08-08,5.96,6.11,5.76,5.83
IKNA,2022-08-09,5.72,5.72,5.01,5.1
IKNA,2022-08-10,5.17,5.385,5.17,5.22
IKNA,2022-08-11,5.04,5.64,5.04,5.26
IKNA,2022-08-12,5.26,5.39,5.2,5.22
IKNA,2022-08-15,5.24,5.32,5.12,5.24
IKNA,2022-08-16,5.26,5.26,5.0,5.07
IKNA,2022-08-17,5.05,5.2,5.03,5.07
IKNA,2022-08-18,5.02,5.21,4.99,5.05
IKNA,2022-08-19,4.93,5.16,4.93,5.06
IKNA,2022-08-22,5.0,5.015,4.88,4.92
IKNA,2022-08-23,4.95,5.08,4.76,4.79
IKNA,2022-08-24,4.82,4.945,4.75,4.82
IKNA,2022-08-25,4.87,4.97,4.85,4.87
IKNA,2022-08-26,4.8,5.085,4.75,4.84
IKNA,2022-08-29,4.72,4.82,4.5,4.54
IKNA,2022-08-30,4.61,4.62,4.31,4.31
IKNA,2022-08-31,4.44,4.83,4.35,4.75
IKNA,2022-09-01,4.66,4.77,4.41,4.77
IKNA,2022-09-02,4.84,5.46,4.69,5.16
IKNA,2022-09-06,5.18,5.58,5.0,5.14
IKNA,2022-09-07,5.09,5.28,4.58,4.86
IKNA,2022-09-08,4.85,5.4,4.82,5.4
IKNA,2022-09-09,5.2973,5.42,5.12,5.25
IKNA,2022-09-12,5.2,5.5,5.165,5.24
IKNA,2022-09-13,5.14,5.32,4.98,5.01
IKNA,2022-09-14,4.98,5.01,4.71,4.72
IKNA,2022-09-15,4.71,4.85,4.29,4.46
IKNA,2022-09-16,4.31,4.39,3.96,4.06
IKNA,2022-09-19,4.05,4.13,3.86,4.08
IKNA,2022-09-20,4.05,4.095,3.92,3.92
IKNA,2022-09-21,3.83,4.09,3.73,3.8
IKNA,2022-09-22,3.99,3.99,3.45,3.46
IKNA,2022-09-23,3.39,3.84,3.32,3.55
IKNA,2022-09-26,3.4,4.08,3.4,3.57
IKNA,2022-09-27,3.445,3.72,3.445,3.63
IKNA,2022-09-28,3.71,3.99,3.61,3.88
IKNA,2022-09-29,3.88,3.88,3.42,3.72
IKNA,2022-09-30,3.76,3.76,3.41,3.55
IKNA,2022-10-03,3.51,3.6099,3.25,3.51
IKNA,2022-10-04,3.53,4.04,3.36,3.7
IKNA,2022-10-05,3.52,3.7,3.31,3.34
IKNA,2022-10-06,3.47,3.7,3.22,3.23
IKNA,2022-10-07,3.33,3.37,2.98,2.98
IKNA,2022-10-10,2.97,3.27,2.92,3.26
IKNA,2022-10-11,3.31,3.505,2.92,2.97
IKNA,2022-10-12,2.93,3.0,2.91,2.96
IKNA,2022-10-13,2.935,3.36,2.935,3.21
IKNA,2022-10-14,3.3,3.3,2.95,3.11
IKNA,2022-10-17,3.12,3.27,2.93,3.13
IKNA,2022-10-18,3.19,3.4099,3.1,3.26
IKNA,2022-10-19,3.25,3.26,3.15,3.17
IKNA,2022-10-20,3.28,3.28,2.82,2.84
IKNA,2022-10-21,2.85,3.061,2.77,2.81
IKNA,2022-10-24,2.84,3.1,2.77,2.79
IKNA,2022-10-25,2.85,3.04,2.77,2.87
IKNA,2022-10-26,2.83,3.32,2.83,3.07
IKNA,2022-10-27,3.058,3.17,2.82,2.85
IKNA,2022-10-28,3.02,3.02,2.63,2.75
IKNA,2022-10-31,2.79,2.92,2.58,2.75
IKNA,2022-11-01,2.6,2.78,2.55,2.62
