Ticker,Name,Industry,Sub-Industry,Headquarters Location,Date added,Founded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3/4/1957,1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,1916
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",3/4/1957,1888
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,2013 (1888)
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,2008
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",3/4/1957,1902
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/1997,1982
ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",3/31/1981,1949
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1932
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,1955
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1999
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,1940
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1998
ALK,Alaska Air Group,Industrials,Airlines,"SeaTac, Washington",5/13/2016,1985
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/2017,1997
ALLE,Allegion,Industrials,Building Products,"New York City, New York",12/2/2013,1908
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,1917
ALL,Allstate,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1998
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/1957,1985
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1994
AMCR,Amcor,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,2019 (1860)
AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,1969
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1902
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",3/4/1957,1906
AXP,American Express,Financials,Consumer Finance,"New York City, New York",6/30/1976,1850
AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",3/31/1980,1919
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1995
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,1894
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/2001,1985
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,1980
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,1932
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/1999,1965
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1969
AON,Aon,Financials,Insurance Brokers,"London, UK",4/23/1996,1982 (1919)
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,1954
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,1977
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,1967
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,1994
ACGL,Arch Capital Group,Financials,Reinsurance,"Hamilton, Bermuda",11/1/2022,1995
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/2016,1927
AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York",4/10/2007,1892
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,1983 (1885)
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,1906
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",12/1/1989,1982
AZO,AutoZone,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,1979
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia",1/10/2007,1978
AVY,Avery Dennison,Materials,Paper Packaging,"Glendale, California",12/31/1987,1990
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,2017
BALL,Ball Corporation,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,1880
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,1998 (1923 / 1874)
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,"Columbus, Ohio",9/30/1983,1963
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,1897
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/2019,1967
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,1966
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/2020,1952
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/2021,1976
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/2011,1988
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/1995,1784
BA,Boeing,Industrials,Aerospace & Defense,"Chicago, Illinois",3/4/1957,1916
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,1996
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,1880
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1970
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2/24/1995,1979
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",3/4/1957,1989 (1887)
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1961
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1962
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/2021,1939
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,1870
BG,Bunge Limited,Consumer Staples,Agricultural Products,"Chesterfield, Missouri",3/15/2023,1818
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1905
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/2021,1973
CPT,Camden Property Trust,Real Estate,Residential REITs,"Houston, Texas",4/4/2022,1981
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/1957,1869
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,1994
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,1971
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",6/28/2010,1993
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,1972
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/2020,2020 (1915)
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/2020,2007
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Irving, Texas",3/4/1957,1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",11/10/2006,1906
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1918
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/2016,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1882
CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",9/20/2021,1992
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1946
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/2021,1947
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/1997,1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1993
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/1957,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1993
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,1985
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,1847
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,1950
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,1929
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,1984
C,Citigroup,Financials,Diversified Banks,"New York City, New York",5/31/1988,1998
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,1828
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",3/31/1969,1913
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1848
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",3/4/1957,1886
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/1957,1886
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",3/4/1957,1806
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/2002,1963
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,1849
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957,2002
ED,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",3/4/1957,1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,1945
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",2/2/2022,1999
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,1958
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,1982
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",2/27/1995,1851
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",6/3/2019,2019
CSGP,CoStar Group,Industrials,Research & Consulting Services,"Washington, D.C.",9/19/2022,1987
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,1976
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,2021 (1989)
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1994
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",3/4/1957,1980
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/1957,1996
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/2005,1978
DHR,Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C.",11/18/1998,1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",5/31/1995,1938
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,1979
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/1957,1837
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,1929
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",11/14/2008,2016 (1969)
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1971
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",5/12/2020,1999
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,2007
DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",5/18/2016,2004
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1985
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1980
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1923
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,1939
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,1986
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,1983
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/2020,1960
DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,1955
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,2019
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/1957,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1904
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/2019,2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,2017
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,1920
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",3/4/1957,1911
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",7/22/2002,1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1/31/1989,1923
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",3/4/1957,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,1982
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,2014 (1946)
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,1876
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,1890
ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",1/7/2021,2006
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/1957,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",12/14/2021,1993
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",10/3/2022,1888
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,1899
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1998
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,1969
ESS,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",4/2/2014,1971
EL,Est?e Lauder Companies (The),Consumer Staples,Personal Products,"New York City, New York",1/5/2006,1946
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",9/21/2020,2005
RE,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,1973
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1909
ES,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",2009,1966
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",3/4/1957,2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",10/2/2007,1996
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,1979
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,1977
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/1957,1999
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1996
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",12/20/2021,1978
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota",9/15/2008,1967
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,1962
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1971
FITB,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",3/29/1996,1858
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1/2/2019,1985
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",12/19/2022,1999
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",11/28/1997,1997
FIS,FIS,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/2006,1968
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,1984
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",6/20/2018,2000
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,1883
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/1957,1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,2000
FTV,Fortive,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,2016
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",7/1/2013,2019
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",9/18/2015,2019
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",4/30/1998,1947
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",,1912
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1989
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,1979
GEHC,GE HealthCare,Health Care,Health Care Technology,"Chicago, Illinois",1/4/2023,1994
GEN,Gen Digital,Information Technology,Application Software,"Tempe, Arizona",3/25/2003,1982
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/2021,1959
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/1957,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",3/4/1957,1892
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/4/1957,1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1908
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,1925
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004,1987
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,1900
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,2000
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",7/22/2002,1869
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/1957,1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/1957,1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,1968
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",3/31/2008,1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,1932
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/1957,1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",5/31/1984,1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",11/2/2015,2015
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,1985
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,1978
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",3/4/1957,1906
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",3/4/1957,2016
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,1939 (2015)
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",,1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",8/28/1997,1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,2011
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/1957,1911
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,1983
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/1986,1912
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,1998
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Davidson, North Carolina",3/3/2020,1859
